swaps_id,swaps_timestamp,swaps_hash,swaps_to,swaps_from,swaps_tokenIn_id,swaps_tokenIn_name,swaps_tokenIn_symbol,swaps_tokenIn_decimals,swaps_tokenIn_lastPriceUSD,swaps_tokenIn_lastPriceBlockNumber,swaps_amountIn,swaps_amountInUSD,swaps_tokenOut_id,swaps_tokenOut_name,swaps_tokenOut_symbol,swaps_tokenOut_decimals,swaps_tokenOut_lastPriceUSD,swaps_tokenOut_lastPriceBlockNumber,swaps_amountOut,swaps_amountOutUSD,swaps_pool_name,dateTime,calDate
swap-0x620c7db63d8c3655269f4b06f924ebd35b4ff98e1bbc6a60ded03bf22ffed6ea-6,1671231359,0x620c7db63d8c3655269f4b06f924ebd35b4ff98e1bbc6a60ded03bf22ffed6ea,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0xa06c3c08a19e51b33309eddfb356c33ead8517a3,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,990439523186,9462.92266143221,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,9464401366477849103026,9466.161745132014,50OHM-50DAI,2022-12-16 22:55:59,2022-12-16
swap-0x69a478571575e7fcbdd4621b9b12f4c8f4915252c0841e1692db938b3d9b5827-13,1671231275,0x69a478571575e7fcbdd4621b9b12f4c8f4915252c0841e1692db938b3d9b5827,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0xa06c3c08a19e51b33309eddfb356c33ead8517a3,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,621091605723,5934.074411444664,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,5941003369550109557934,5942.108396176846,50OHM-50DAI,2022-12-16 22:54:35,2022-12-16
swap-0x653019f76124710d8a4b358d9a61fc5ab783ebe3e78003110ab08dc88458536b-123,1671230843,0x653019f76124710d8a4b358d9a61fc5ab783ebe3e78003110ab08dc88458536b,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0xa06c3c08a19e51b33309eddfb356c33ead8517a3,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,672049562502,6420.940285327733,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,6417540180212805845860,6418.733842686325,50OHM-50DAI,2022-12-16 22:47:23,2022-12-16
swap-0xde1e7a8acaa801d181d727ddf784c51ac5a47ca7ac1cbd1c51cd2fc1f85882b2-39,1671230075,0xde1e7a8acaa801d181d727ddf784c51ac5a47ca7ac1cbd1c51cd2fc1f85882b2,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0xa06c3c08a19e51b33309eddfb356c33ead8517a3,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,523184522159,4998.64409178998,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,5008250323905744912422,5009.181858465991,50OHM-50DAI,2022-12-16 22:34:35,2022-12-16
swap-0x1e0296aa808e54cb0e9ef00b09cf4bcec8c9b6e3244af8833e85ce25f331e946-27,1671229715,0x1e0296aa808e54cb0e9ef00b09cf4bcec8c9b6e3244af8833e85ce25f331e946,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0xa06c3c08a19e51b33309eddfb356c33ead8517a3,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,436851253699,4173.79308027373,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,4184335459628994246900,4185.113746024485,50OHM-50DAI,2022-12-16 22:28:35,2022-12-16
swap-0xc6fb121651ce285043b2a7e89251f2e28cb1dbe4c712a07d272f2b874b21de84-37,1671228347,0xc6fb121651ce285043b2a7e89251f2e28cb1dbe4c712a07d272f2b874b21de84,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0x61ce2b409119ffacfee89e0437bfbfa4af5b4847,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,196366895407,1876.1415523126564,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,1881628153241849272564,1881.9781360783522,50OHM-50DAI,2022-12-16 22:05:47,2022-12-16
swap-0xf7b1f7034b0a6a4f83874f7d0e61287473062923d99f790d50818d98fb900ebb-7,1671226499,0xf7b1f7034b0a6a4f83874f7d0e61287473062923d99f790d50818d98fb900ebb,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0xa06c3c08a19e51b33309eddfb356c33ead8517a3,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,575331149100,5496.866836587061,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,5515617357926794133821,5516.643262755369,50OHM-50DAI,2022-12-16 21:34:59,2022-12-16
swap-0x068f3c152a580451657d4114ba4d4d805b2ed27a923e0e508c404c363f608041-3,1671225179,0x068f3c152a580451657d4114ba4d4d805b2ed27a923e0e508c404c363f608041,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0x524cfae2daab901234c842f3a17235902b0f01f9,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,476299243315,4550.6896662302315,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,4569230752706134008615,4570.080629626137,50OHM-50DAI,2022-12-16 21:12:59,2022-12-16
swap-0xc3b16ff3859dea68e22133a74dbdc99f6a9d59d9069efa4a0c30943119d99ba8-4,1671218087,0xc3b16ff3859dea68e22133a74dbdc99f6a9d59d9069efa4a0c30943119d99ba8,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0x5a3e43cd0541d8a94565835df0808e42fd7fa603,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,266802408592,2549.1011811286535,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,2548367528526090600179,2548.8415248863967,50OHM-50DAI,2022-12-16 19:14:47,2022-12-16
swap-0xe655174a61dc25ed669a91670330ccffa22734707e8cda7a7817958b2762840b-1,1671217907,0xe655174a61dc25ed669a91670330ccffa22734707e8cda7a7817958b2762840b,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0xd03154dbc4ae6beafa79f7ae6d99c12ce58f5b64,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,654633368106,6254.5413313606405,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,6256358582192571349859,6257.522264888859,50OHM-50DAI,2022-12-16 19:11:47,2022-12-16
