swaps_id,swaps_transaction_timestamp,swaps_logIndex,swaps_pair_id,swaps_pair_token0_symbol,swaps_pair_token0_decimals,swaps_pair_token1_symbol,swaps_pair_token1_decimals,swaps_amount0In,swaps_amount1Out,swaps_amountUSD,dateTime,calDate
0xa55c777d30281a5159846d08ca9809df83c8721a3ef12739d34251d7eccca607-0,1669924523,32,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,66.936477385,568.6115791314782,568.6115791314782,2022-12-01 19:55:23,2023-01-17
0x590b8a20c8a5b4a14837e3f9ce82febd8480b69d16b4fb929354370a02a4e649-0,1669919567,45,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,100.012070755,843.7985766512479,843.7985766512479,2022-12-01 18:32:47,2023-01-17
0x421221ef68ae2e55c8bcbb1529095ca22110e3ac5fd4700dbfd54e4bef93ab98-0,1669902395,116,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,382.773112964,3252.142178290661,3252.142178290661,2022-12-01 13:46:35,2023-01-17
0xa12dc1f05f562132aa2c21d6b45f3f07515101d1bc1e3dc003de1eb20f345bae-0,1669872767,58,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,324.099396155,2766.4757683838975,2766.4757683838975,2022-12-01 05:32:47,2023-01-16
0x2af40d195236b32a902dcecf076d5b7e3801c21cff2a4e11cf0845ef461dac3f-0,1669831823,46,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,143.11213471,1214.6260353154075,1214.6260353154075,2022-11-30 18:10:23,2023-01-16
0xbccf61904f0e16bcf0ad24162de2b4c93effb2399868ecfda0d1edd6d62b6a5e-0,1669672667,64,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,254.181155601,2037.4206043077938,2037.4206043077938,2022-11-28 21:57:47,2023-01-14
0x70b0acdbf8cec35e6d9d611b62d2f00109fce400c3f5827363722f9b5034892b-0,1669672127,7,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,204.117073272,1646.8005279524896,1646.8005279524896,2022-11-28 21:48:47,2023-01-14
0x39c30ee2bf8bdcd48c5693a5a954937d2d7945b9f8a12ad7a241c0c78fb56ef9-0,1669615691,42,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,127.360621679,1025.4704863329343,1025.4704863329343,2022-11-28 06:08:11,2023-01-14
0x379816d6bd5e790f9f40a9b6bee057fc76fc94948a761d1ee691d22a4798cb3f-0,1669600259,42,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,315.196512852,2502.2449465484638,2502.2449465484638,2022-11-28 01:50:59,2023-01-13
0xd87891997957f523cba8ee8ef6e5bb9dd446fc413b9dc15120cf3edc7caf614d-0,1669595975,16,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,394.342541538,3121.8448409754374,3121.8448409754374,2022-11-28 00:39:35,2023-01-13
